food,kcal,protein,fat,carbs,unit,favorite
無脂肪ヨーグルト,40.0,4.6,0.3,4.9,100g,False
串団子（三色）,123.0,1.0,0.09,29.6,本,False
切り餅,118.2,2.0,0.3,26.0,個,False
U大判ハムカツサンド,596.0,16.4,19.4,89.3,個,False
一本満足バープロテインチョコ,182.0,16.0,8.3,11.9,個,False
U生姜香るチキンタツタ,287.0,12.2,11.8,47.7,個,False
Uササミタルタル南蛮ドッグR,518.0,18.0,19.7,67.1,個,False
はちみつ,294.0,0.2,0.0,79.7,100g,False
牛乳,69.0,3.5,4.05,4.65,100mL,False
プロテイン,392.0,72.3,5.7,13.3,100g,True
ネギ,28.0,1.2,0.1,7.2,本,False
ブロッコリー,60.0,5.0,0.8,11.9,個,False
コンソメ,12.0,0.5,0.4,1.6,個,False
醤油,13.0,1.6,0.0,1.7,大さじ,False
みりん,43.0,0.0,0.0,7.5,大さじ,False
オリーブオイル,126.0,0.0,14.0,0.0,大さじ,False
ツナ缶（液なし）,80.0,12.7,2.0,0.0,個,False
ごま油,126.0,0.0,14.0,0.0,大さじ,False
低脂肪乳,40.0,1.85,0.6,6.8,100mL,False
バター,731.0,0.5,80.8,0.5,100g,False
納豆,90.0,7.0,3.9,6.7,個,False
鶏もも肉（皮なし）,113.0,19.0,5.0,0.0,100g,False
鶏むね肉（皮なし）,105.0,23.3,1.9,0.0,100g,False
白米,156.0,2.5,0.3,37.1,100g,False
卵,76.0,6.2,5.2,0.2,個,False
ジャンボチキンカツごはんトマトバジル（Bee Arena）,976.0,36.1,37.2,116.8,個,False
豆板醤,15.0,0.4,0.4,2.5,大さじ,False
ココアパウダー,340.0,16.5,13.0,60.5,100g,False
米粉,361.0,6.0,1.1,81.7,100g,False
ホットケーキミックス,362.0,8.4,1.6,78.6,100g,False
キャベツ,205.0,10.72,0.89,46.44,個,False
餃子の皮（25枚入り）,384.0,10.8,1.7,81.5,個,False
豚ひき肉,220.0,18.0,17.2,0.1,100g,False
ブラックサンダー（至福のバター）,122.0,1.4,7.2,12.9,個,False
