date,meal,food,amount,kcal,protein,fat,carbs
2025-12-15,朝,無脂肪ヨーグルト,80.0,32.0,3.68,0.24,3.92
2025-12-15,朝,プロテイン,15.0,58.8,10.845,0.855,1.995
2025-12-15,朝,切り餅,2.0,236.4,4.0,0.6,52.0
2025-12-15,朝,はちみつ,3.0,8.82,0.006,0.0,2.391
2025-12-15,昼,U大判ハムカツサンド,1.0,596.0,16.4,19.4,89.3
2025-12-15,昼,一本満足バープロテインチョコ,1.0,182.0,16.0,8.3,11.9
2025-12-15,昼,無脂肪ヨーグルト,40.0,16.0,1.84,0.12,1.96
2025-12-15,昼,プロテイン,8.0,31.36,5.784,0.456,1.064
2025-12-15,夜,牛乳,400.0,276.0,14.0,16.2,18.6
2025-12-15,夜,ネギ,1.0,28.0,1.2,0.1,7.2
2025-12-15,夜,ブロッコリー,0.4,24.0,2.0,0.32,4.760000000000001
2025-12-15,夜,オリーブオイル,0.2,25.200000000000003,0.0,2.8000000000000003,0.0
2025-12-15,夜,バター,0.1,0.731,0.0005,0.0808,0.0005
2025-12-15,夜,コンソメ,1.0,12.0,0.5,0.4,1.6
2025-12-15,夜,鶏もも肉（皮なし）,230.0,259.9,43.7,11.5,0.0
2025-12-16,朝,牛乳,250.0,172.5,8.75,10.125,11.625
2025-12-16,朝,プロテイン,11.0,43.12,7.952999999999999,0.627,1.463
2025-12-16,朝,白米,150.0,234.0,3.75,0.4499999999999999,55.650000000000006
2025-12-16,朝,卵,1.0,76.0,6.2,5.2,0.2
2025-12-16,昼,ジャンボチキンカツごはんトマトバジル（Bee Arena）,1.0,976.0,36.1,37.2,116.8
2025-12-16,夜,牛乳,40.0,27.6,1.4,1.62,1.8600000000000003
2025-12-16,夜,餃子の皮（25枚入り）,1.0,384.0,10.8,1.7,81.5
2025-12-16,夜,豚ひき肉,133.0,292.6,23.94,22.876,0.133
2025-12-16,夜,キャベツ,0.125,25.625,1.34,0.11125,5.805
2025-12-16,夜,ネギ,1.0,28.0,1.2,0.1,7.2
2025-12-16,夜,醤油,2.0,26.0,3.2,0.0,3.4
2025-12-16,夜,ごま油,0.4,50.400000000000006,0.0,5.6000000000000005,0.0
2025-12-16,夜,白米,140.0,218.4,3.5,0.42,51.94
